# Rank send_size recv_size exec_time late_time send_bw recv_bw
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
- - - - - - -
80 0 0 47.507000 7.878000 0.000000 0.000000
81 0 0 47.505000 7.868000 0.000000 0.000000
82 0 0 47.505000 7.868000 0.000000 0.000000
83 0 0 42.413000 2.518000 0.000000 0.000000
84 0 0 39.784000 0.153000 0.000000 0.000000
85 0 0 41.165000 0.826000 0.000000 0.000000
86 0 0 41.920000 1.603000 0.000000 0.000000
87 0 0 48.496000 7.871000 0.000000 0.000000
88 0 0 48.157000 7.876000 0.000000 0.000000
89 0 0 47.497000 7.869000 0.000000 0.000000
90 0 0 46.715000 7.863000 0.000000 0.000000
91 0 0 46.716000 7.870000 0.000000 0.000000
92 0 0 46.569000 7.870000 0.000000 0.000000
93 0 0 41.543000 2.873000 0.000000 0.000000
94 0 0 38.942000 0.077000 0.000000 0.000000
95 0 0 39.549000 0.023000 0.000000 0.000000
96 0 0 40.343000 0.785000 0.000000 0.000000
97 0 0 46.483000 7.867000 0.000000 0.000000
98 0 0 46.486000 7.866000 0.000000 0.000000
99 0 0 46.486000 7.867000 0.000000 0.000000
100 0 0 46.483000 7.867000 0.000000 0.000000
101 0 0 46.487000 7.864000 0.000000 0.000000
102 0 0 46.484000 7.859000 0.000000 0.000000
103 0 0 41.260000 3.786000 0.000000 0.000000
104 0 0 38.857000 1.888000 0.000000 0.000000
105 0 0 38.748000 1.777000 0.000000 0.000000
106 0 0 39.534000 2.798000 0.000000 0.000000
107 0 0 44.661000 7.872000 0.000000 0.000000
108 0 0 44.656000 7.871000 0.000000 0.000000
109 0 0 44.379000 7.873000 0.000000 0.000000
110 0 0 44.104000 7.862000 0.000000 0.000000
111 0 0 44.101000 7.876000 0.000000 0.000000
112 0 0 44.030000 7.876000 0.000000 0.000000
113 0 0 44.047000 7.874000 0.000000 0.000000
114 0 0 44.030000 7.869000 0.000000 0.000000
115 0 0 44.051000 7.872000 0.000000 0.000000
116 0 0 44.048000 7.873000 0.000000 0.000000
117 0 0 44.051000 7.868000 0.000000 0.000000
118 0 0 44.099000 7.861000 0.000000 0.000000
119 0 0 44.105000 7.871000 0.000000 0.000000
